Обозначение;Описание;Материал;Длина;Ширина;Толщина;КОЛ.
ФФО-2-00.001;Стопор кессона;Круг 16;200;;;4
ФФО-2-01.001;Лист дна;Лист 4  ;1070;1070;4;1
ФФО-2-01.002;Труба рамки дна;Труба 60х40х3;1070;;;4
ФФО-2-01.003;Труба усиления дна;Труба 60х40х3;1000;;;2
ФФО-2-01.004;Проушина петли;Лист 8  ;60;50;8;16
ФФО-2-02.001;Стенка кессона;Лист 3  ;444;347;3;4
ФФО-2-02.002;Дно кессона;Лист 3  ;357;357;3;1
ФФО-2-02.003;Крышка кессона;Лист 3  ;447;447;3;1
ФФО-2-02.004;Труба кессона - длинный;Труба 60х40х3;805;;;1
ФФО-2-02.005;Труба кессона - короткий;Труба 60х40х3;383;;;2
ФФО-2-02.006;Заглушка труба;Лист 3  ;55;35;3;4
ФФО-2-02.007;Трубка;Труба 21,3х2,8;350;;;1
ФФО-2-02.008;Проушина транспортировочная;Круг 14;300;;;2
ФФО-2-02.009;Ребро кессона - внутреннее;Лист 4  ;340;50;4;4
ФФО-2-03.001;Лист борта;Лист 4  ;950;474;4;2
ФФО-2-03.002;Усиление борта - нижнее;Труба 60х40х3;910;;;2
ФФО-2-03.003;Усиление борта - верхнее;Труба 60х40х3;640;;;2
ФФО-2-03.004;Ребро борта;Лист 4  ;400;55;4;12
ФФО-2-03.005;Пластина борта - нижняя;Лист 4  ;910;66;4;2
ФФО-2-03.006;Пластина борта - верхняя;Лист 4  ;640;66;4;2
ФФО-2-03.007;Заглушка усиления;Лист 3  ;70;40;3;16
ФФО-2-03.008;Проушина петли;Лист 8  ;84;50;8;8
ФФО-2-03.009;Проушина стопора;Лист 6х98  ;98;50;6;16
ФФО-2-04.001;Лист борта;Лист 4  ;1040;474;4;2
ФФО-2-04.002;Усиление борта - нижнее;Труба 60х40х3;1065;;;2
ФФО-2-04.003;Усиление борта - верхнее;Труба 60х40х3;799;;;2
ФФО-2-04.005;Пластина борта - нижняя;Лист 4  ;1065;66;4;2
ФФО-2-04.006;Пластина борта - верхняя;Лист 4  ;799;66;4;2
