Обозначение;Наименование;Описание;КОЛ.
ФФО-2-00.000;Форма ФО-2;;1
ФФО-2-00.001;Стопор кессона;Круг 16 L=200 ;4
ФФО-2-01.000;Дно формы;;1
ФФО-2-01.001;Лист дна;Лист 4х1070х1070  ;1
ФФО-2-01.002;Труба рамки дна;Труба 60х40х3 L=1070 ;4
ФФО-2-01.003;Труба усиления дна;Труба 60х40х3 L=1000 ;2
ФФО-2-01.004;Проушина петли;Лист 8х50х60  ;16
ФФО-2-02.000;Кессон;;1
ФФО-2-02.001;Стенка кессона;Лист 3х347х444  ;4
ФФО-2-02.002;Дно кессона;Лист 3х357х357  ;1
ФФО-2-02.003;Крышка кессона;Лист 3х447х447  ;1
ФФО-2-02.004;Труба кессона - длинный;Труба 60х40х3 L=805 ;1
ФФО-2-02.005;Труба кессона - короткий;Труба 60х40х3 L=383 ;2
ФФО-2-02.006;Заглушка труба;Лист 3х35х55  ;4
ФФО-2-02.007;Трубка;Труба 21,3х2,8 L=350 ;1
ФФО-2-02.008;Проушина транспортировочная;Круг 14 L=300 ;2
ФФО-2-02.009;Ребро кессона - внутреннее;Лист 4х50х340  ;4
ФФО-2-03.000;Борт формы - малый;;2
ФФО-2-03.001;Лист борта;Лист 4х474х950  ;1
ФФО-2-03.002;Усиление борта - нижнее;Труба 60х40х3 L=910 ;1
ФФО-2-03.003;Усиление борта - верхнее;Труба 60х40х3 L=640 ;1
ФФО-2-03.004;Ребро борта;Лист 4х55х400  ;3
ФФО-2-03.005;Пластина борта - нижняя;Лист 4х66х910  ;1
ФФО-2-03.006;Пластина борта - верхняя;Лист 4х66х640  ;1
ФФО-2-03.007;Заглушка усиления;Лист 3х40х70  ;4
ФФО-2-03.008;Проушина петли;Лист 8х50х84  ;2
ФФО-2-03.009;Проушина стопора;Полоса 6х50х98  ;4
ФФО-2-04.000;Борт формы;;2
ФФО-2-03.004;Ребро борта;Лист 4х55х400  ;3
ФФО-2-03.007;Заглушка усиления;Лист 3х40х70  ;4
ФФО-2-03.008;Проушина петли;Лист 8х50х84  ;2
ФФО-2-03.009;Проушина стопора;Полоса 6х50х98  ;4
ФФО-2-04.001;Лист борта;Лист 4х474х1040  ;1
ФФО-2-04.002;Усиление борта - нижнее;Труба 60х40х3 L=1065 ;1
ФФО-2-04.003;Усиление борта - верхнее;Труба 60х40х3 L=799 ;1
ФФО-2-04.005;Пластина борта - нижняя;Лист 4х66х1065  ;1
ФФО-2-04.006;Пластина борта - верхняя;Лист 4х66х799  ;1
