Обозначение;Наименование;Описание;КОЛ.
К70-00.000;Крыша L=70;;1
ФДС-01.000;Ферма внутренняя;;9
ФДС-01.001;Нижний пояс;Труба 100х100х4 L=13500 ;1
ФДС-01.002;Верхний пояс;Труба 100х100х4 L=7012 ;2
ФДС-01.003;Стойка-1;Труба 60х60х4 L=1796 ;1
ФДС-01.004;Стойка-2;Труба 60х60х4 L=1330 ;2
ФДС-01.005;Стойка-3;Труба 60х60х4 L=855 ;2
ФДС-01.007;Ребро-1;Труба 60х60х4 L=2074 ;2
ФДС-01.008;Ребро-2;Труба 60х60х4 L=1796 ;2
ФДС-01.009;Ребро-3;Труба 60х60х4 L=1633 ;2
ФДС-01.010;Кронштейн;Уголок 100х63х6 L=170 ;10
ФДС-01.006;Стойка-3;Труба 60х60х4 L=380 ;2
ПФ-01.001;Прогон-1;Швеллер UNP-160 L=7035 ;20
ФДС-01.000-01;Ферма крайняя;;2
ФДС-01.001;Нижний пояс;Труба 100х100х4 L=13500 ;1
ФДС-01.002;Верхний пояс;Труба 100х100х4 L=7012 ;2
ФДС-01.003;Стойка-1;Труба 60х60х4 L=1796 ;1
ФДС-01.004;Стойка-2;Труба 60х60х4 L=1330 ;2
ФДС-01.005;Стойка-3;Труба 60х60х4 L=855 ;2
ФДС-01.006;Стойка-3;Труба 60х60х4 L=380 ;2
ФДС-01.007;Ребро-1;Труба 60х60х4 L=2074 ;2
ФДС-01.008;Ребро-2;Труба 60х60х4 L=1796 ;2
ФДС-01.009;Ребро-3;Труба 60х60х4 L=1633 ;2
ФДС-01.010-01;Кронштейн;Уголок 100х63х6 L=80 ;10
ПФ-01.001-01;Прогон-2;Швеллер UNP-160 L=6990 ;80
