Обозначение;Описание;Материал;Длина;Ширина;Толщина;КОЛ.
КТ-01.001;Лист 1500х2000х4;;1500;2000;4;1
КТ-01.002;Лист 300х2000х4;;300;2000;4;1
КТ-03.001;Лист хх3;;;;3;1
КТ-02.001;Лист 1420х3300х3;;1420;3300;3;2
КТ-02.002;Труба 40х60х2 L=2403;Труба 60х40х3;2403;40;2;2
КТ-02.003;Труба 40х60х2 L=1050;Труба 60х40х3;1050;40;2;2
КТ-02.004;Труба 40х60х2 L=400;Труба 60х40х3;400;40;2;7
КТ-02.005;Труба 40х60х2 L=3182;Труба 60х40х3;3182;40;2;2
КТ-02.001-01;Лист 1420х3300х3;;1420;3300;3;2
КТ-02.008;;;;;;7
КТ-04.001;Лист 1273х1835х3;;1273;1835;3;1
КТ-03.002;Труба 40х60х2 L=1945;Труба 60х40х3;1945;40;2;1
КТ-03.003;Труба 40х60х2 L=1925;Труба 60х40х3;1925;40;2;1
КТ-04.002;Труба 40х60х2 L=1920;Труба 60х40х3;1920;40;2;1
КТ-04.003;Труба 40х60х2 L=1810;Труба 60х40х3;1810;40;2;1
КТ-04.004;Труба 40х60х2 L=1795;Труба 60х40х3;1795;40;2;1
КТ-05.002;Лист 255х100х6;;255;100;6;2
КТ-05.003;Лист 200х360х6;;200;360;6;2
КТ-05.004;Труба O48х3 L=200;;200;;3;1
КТ-05.001;Лист 285х420х6;;285;420;6;1
КТ-02.006;Лист 120х250х6;;120;250;6;4
КТ-06.001;Лист 70х70х6;;70;70;6;4
КТ-06.002;Труба O48х3 L=140;;140;;3;4
КТ-02.007;Лист 110х80х6;;110;80;6;4
КТ-04.005;Лист 60х38х3;;60;38;3;4
КТ-03.004;;;;;;6
КТ-04.006;Лист 220х130х4;;220;130;4;2
КТ-04.007;;;;;6;2
